ID	POP	EUR	EAS	AMR	SAS	AFR	tissue
TCGA-02-0001	EUR	0.863131	1e-05	1e-05	0.112753	0.024096	Blood Derived Normal
TCGA-02-0003	EUR	0.840313	0.005766	0.003928	0.079155	0.070838	Blood Derived Normal
TCGA-02-0004	EUR	0.989096	0.002585	0.005466	1e-05	0.002843	Blood Derived Normal
TCGA-02-0006	EUR	0.982786	0.00181	0.013489	1e-05	0.001905	Blood Derived Normal
TCGA-02-0007	EUR	0.997286	1e-05	0.000248	0.001165	0.001291	Blood Derived Normal
TCGA-02-0009	EUR	0.994804	1e-05	1e-05	0.005166	1e-05	Blood Derived Normal
TCGA-02-0010	EUR	0.992799	1e-05	1e-05	0.002441	0.00474	Blood Derived Normal
TCGA-02-0011	EUR	0.744644	0.002232	0.252776	0.000338	1e-05	Blood Derived Normal
TCGA-02-0014	EUR	0.990348	0.00235	1e-05	1e-05	0.007282	Blood Derived Normal
TCGA-02-0015	AFR	0.021504	0.003364	1e-05	1e-05	0.975111	Blood Derived Normal
TCGA-02-0016	EUR	0.749225	0.054388	1e-05	1e-05	0.196367	Blood Derived Normal
TCGA-02-0021	EUR	0.961514	1e-05	0.038126	1e-05	0.00034	Blood Derived Normal
TCGA-02-0023	EUR	0.756664	0.05944	1e-05	1e-05	0.183876	Blood Derived Normal
TCGA-02-0024	EUR	0.97294	1e-05	0.013707	0.003389	0.009954	Blood Derived Normal
TCGA-02-0025	EUR	0.952394	1e-05	1e-05	0.036541	0.011045	Blood Derived Normal
TCGA-02-0026	EUR	0.764025	0.052717	1e-05	1e-05	0.183238	Blood Derived Normal
TCGA-02-0027	EUR	0.996133	1e-05	1e-05	0.003528	0.000319	Blood Derived Normal
TCGA-02-0028	EUR	0.983323	0.006439	1e-05	1e-05	0.010217	Blood Derived Normal
TCGA-02-0033	AFR	1e-05	0.010129	0.037255	1e-05	0.952596	Blood Derived Normal
TCGA-02-0034	EUR	0.977268	0.005137	1e-05	0.017575	1e-05	Blood Derived Normal
TCGA-02-0037	EUR	0.978524	0.003489	1e-05	0.015202	0.002776	Blood Derived Normal
TCGA-02-0038	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-02-0039	EUR	0.988774	1e-05	0.006395	1e-05	0.00481	Blood Derived Normal
TCGA-02-0043	AMR	0.187274	0.0092	0.803506	1e-05	1e-05	Blood Derived Normal
TCGA-02-0046	EUR	0.993766	0.00109	1e-05	0.004523	0.000611	Blood Derived Normal
TCGA-02-0047	EUR	0.887189	0.003933	0.03668	1e-05	0.072188	Blood Derived Normal
TCGA-02-0048	EUR	0.943868	0.012103	1e-05	1e-05	0.044009	Blood Derived Normal
TCGA-02-0051	EUR	0.768123	0.04783	1e-05	1e-05	0.184027	Blood Derived Normal
TCGA-02-0052	EUR	0.990413	1.4e-05	1e-05	0.007196	0.002367	Blood Derived Normal
TCGA-02-0054	EUR	0.844222	0.040856	1e-05	1e-05	0.114903	Blood Derived Normal
TCGA-02-0055	EUR	0.983568	0.005567	0.010845	1e-05	1e-05	Blood Derived Normal
TCGA-02-0057	EUR	0.982843	1e-05	0.003032	0.006262	0.007853	Blood Derived Normal
TCGA-02-0058	EUR	0.994497	1.7e-05	0.002339	1e-05	0.003138	Blood Derived Normal
TCGA-02-0059	EUR	0.768373	0.049848	1e-05	1e-05	0.181759	Blood Derived Normal
TCGA-02-0060	EUR	0.95274	0.028348	1e-05	1e-05	0.018892	Blood Derived Normal
TCGA-02-0064	EUR	0.98825	0.000361	3.3e-05	0.010684	0.000672	Blood Derived Normal
TCGA-02-0068	EUR	0.753344	0.058139	1.1e-05	1e-05	0.188496	Blood Derived Normal
TCGA-02-0069	EAS	0.009821	0.990141	1e-05	1.9e-05	1e-05	Blood Derived Normal
TCGA-02-0070	EUR	0.765634	0.050345	1.6e-05	1e-05	0.183995	Blood Derived Normal
TCGA-02-0071	EUR	0.977152	1e-05	0.020933	1e-05	0.001895	Blood Derived Normal
TCGA-02-0074	EUR	0.779889	0.046207	1e-05	1e-05	0.173883	Blood Derived Normal
TCGA-02-0075	EUR	0.977611	1e-05	0.005599	0.015214	0.001566	Blood Derived Normal
