ID	Tissue	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA-02-0001	Blood Derived Normal	-0.00345021	-0.00373216	0.00199345	0.00344551	0.00445775	0.00121722	0.0345812	-0.00583194	0.00440987	-0.00213789	-0.0116014	0.000441244	-0.00115451	-0.00255642	0.004838	9.65849e-05	0.00080108	0.000191665	0.0103134	-0.0348379
TCGA-02-0003	Blood Derived Normal	-0.00255755	-0.00368852	-0.00814262	0.00240043	0.00490172	0.000984739	0.0243798	0.00479032	-0.00435463	0.0385327	-0.00249814	0.000930761	-0.0262002	0.00868702	0.0021792	-0.0202007	0.0273313	0.0312688	-0.0368696	0.0151393
TCGA-02-0004	Blood Derived Normal	-0.00484042	-0.00407287	-0.000281	0.00104915	-0.00264731	-0.000198477	-0.00495363	-0.00155151	-0.00125685	0.00572088	0.00531351	0.000482285	-0.00549104	0.00014772	0.000535647	-0.00203058	0.00300245	0.00919858	0.0107782	0.00396763
TCGA-02-0006	Blood Derived Normal	-0.00468299	-0.0041776	0.000230829	0.000378925	-0.00321668	-0.000173489	-0.00193918	-0.00212961	0.000331375	0.000269891	0.00661564	-9.93018e-05	0.00094137	-0.00247337	0.00160583	0.00198656	-0.00192931	0.00134065	0.0139977	-0.00106387
TCGA-02-0007	Blood Derived Normal	-0.00505508	-0.00404943	5.66695e-05	0.00136247	-0.00179871	-0.00118248	-0.00407404	0.000715958	-0.00279971	0.00605708	0.00850756	5.20869e-05	-0.00273437	-0.00180441	0.00275505	0.00232783	0.00119106	0.00478552	0.00408694	-0.0067075
TCGA-02-0009	Blood Derived Normal	-0.00481177	-0.00428234	0.000717976	0.00126017	-0.00205023	-0.000178114	-0.00188763	-0.00188545	-0.00019368	0.00018855	0.00669681	-0.000332211	0.000611202	0.000443191	0.00151818	0.00246726	-0.000532296	0.0032357	0.0137614	0.00417693
TCGA-02-0010	Blood Derived Normal	-0.00468289	-0.00438422	0.000601513	0.00132887	-0.00193188	9.77394e-05	-0.00385572	-0.00114991	-0.00199273	0.000626018	0.00960981	-0.000939534	0.000170231	0.000301405	-0.00037862	0.00130453	-0.00032319	-7.58459e-05	0.00114764	-0.00231857
TCGA-02-0011	Blood Derived Normal	-0.00389628	-0.00163006	0.000428587	-0.00764461	-0.00140231	-0.000418888	0.0099372	-0.00382674	-0.00311733	0.0014555	0.00871505	-0.000642114	0.000629296	-0.000833188	0.000148511	0.00163753	-0.00110424	-0.000285657	-0.00141602	0.0116987
TCGA-02-0014	Blood Derived Normal	-0.00484272	-0.00414953	-0.000587694	0.00106037	-0.00330287	6.20083e-05	-0.00215841	-0.00138112	-1.72811e-05	0.000549407	0.0054337	0.000932134	0.00125459	-0.00477423	-0.000579851	0.000944874	-0.00442396	0.000735692	0.00410407	-0.00225248
TCGA-02-0015	Blood Derived Normal	0.0249755	-0.00399091	0.00421638	0.00102766	-0.00210093	-0.000769806	-0.00210247	-0.000846851	0.000323907	0.000470631	0.0015615	-0.00927311	0.00583828	-0.000551401	-0.0066472	-0.00689398	0.00248777	-0.00611383	-0.00968952	-0.00375641
