ID	Tissue	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA-01-0628	Solid Tissue Normal	-0.00766638	-0.00780713	0.000896693	-0.00382573	0.00250336	0.00105299	-0.00494255	-0.00140156	-0.00422377	-0.000454787	-0.000298213	0.00128661	0.00176599	0.00130739	0.0020879	0.0015333	-0.00185414	0.000296961	0.00103328	-0.00434403
TCGA-01-0630	Solid Tissue Normal	-0.00764126	-0.00821937	0.00130438	-0.00286419	0.00190253	0.00129604	-0.00494424	-0.000403654	-0.00313053	-0.00258014	-0.000305422	0.00180831	-0.000452304	0.00525531	-0.000729894	-0.00105258	-0.00323023	0.00457176	0.00376445	-0.003391
TCGA-01-0631	Solid Tissue Normal	-0.00331296	0.0247777	-0.000643143	-0.00469526	0.0124847	0.00122105	-0.0036367	-0.00163008	-0.000747366	-0.0226329	-0.00117703	0.000798729	0.000921358	0.00754519	-0.00157571	0.00140491	-0.00181987	0.00276506	-0.000745943	0.00332885
TCGA-01-0633	Solid Tissue Normal	-0.00779043	-0.0082295	0.000906134	-0.00466034	0.00306689	0.000899756	-0.00890821	-0.00238694	-0.00384492	-0.000142803	-0.00246972	0.00354707	0.00100125	0.00543014	0.00144302	-0.000189683	0.000961048	0.000575542	0.00243456	-0.00567203
TCGA-01-0636	Solid Tissue Normal	-0.0075128	-0.00797543	-0.000242368	-0.0030092	0.00331634	0.000533339	-0.00475494	-0.000542411	0.00161495	-0.0022238	-0.00317368	0.00551662	0.000517384	0.0071382	0.00396946	-0.000415499	-0.000220437	-0.00288897	-0.00255859	0.00148319
TCGA-01-0637	Solid Tissue Normal	-0.00743992	-0.00771655	0.000766115	-0.00332019	0.00391117	0.000581242	-0.00711726	0.000365306	-0.00443332	-0.000159751	-0.00111026	0.00200398	0.00154047	0.00584274	0.00319205	0.00076054	-0.000750662	-0.00375332	-0.000520751	-0.00145498
TCGA-01-0639	Solid Tissue Normal	-0.00490618	-0.00616276	0.00123501	-0.0023104	-0.000626701	0.00163667	0.0244564	0.00281416	-0.00320523	-0.00310261	0.000832161	-0.00112274	-0.00240373	0.00522956	-0.00155658	-0.000928291	0.00144922	-0.00214894	-0.00503638	0.000194742
TCGA-01-0642	Solid Tissue Normal	-0.00756734	-0.00822675	0.000833404	-0.00353541	0.00477001	0.000682088	-0.00405215	-0.000267845	-0.00435192	-0.00240028	0.000670468	0.000461982	-0.000758603	0.0159086	0.00258046	-0.00254035	-0.00325091	-0.000267876	-0.000313024	0.00436917
TCGA-04-1335	Solid Tissue Normal	0.0297297	-0.00289899	0.00214397	6.14983e-05	0.000199033	0.00300479	-0.00138718	-0.0081093	0.00184574	0.000151394	0.0071841	0.000116708	-0.0010431	0.00662432	-0.00296667	-0.00545155	-0.00491411	-0.00343003	0.0016514	0.000329386
TCGA-04-1336	Solid Tissue Normal	-0.00750174	-0.00770243	0.000753192	-0.00366381	0.0025056	0.000904488	-0.0158592	-0.000978694	-0.0031479	-0.00130096	-0.00539631	-0.0116905	0.0117123	-0.0318972	0.000661228	-0.00176111	-0.000359974	-0.00225524	0.00300285	0.00313905
TCGA-04-1337	Solid Tissue Normal	-0.00763443	-0.00808017	0.000948627	-0.00235737	0.00410068	0.000525128	-0.00540323	-6.94161e-05	-0.00158177	-0.00199134	-0.000245407	0.00165281	0.00142627	0.0123407	0.000311675	0.000643016	-0.00189523	-0.000254125	-0.000833364	-0.000942558
TCGA-04-1338	Solid Tissue Normal	-0.00673801	-0.00691651	0.000675087	0.000279268	0.00428439	0.001209	0.0211435	0.000269334	-0.00139524	0.00325538	0.00144538	-0.000453234	0.000823556	-0.0143529	0.000584913	-0.00163382	-0.000498309	0.00213631	0.0041571	0.00133615
TCGA-04-1342	Solid Tissue Normal	-0.00724232	-0.00786756	0.000703614	-0.00223348	0.00332391	-9.43028e-05	0.00144639	-0.00140083	-0.00076302	0.000541578	4.34985e-05	0.000950728	0.00248012	0.00316778	-0.00318859	-0.000756189	-0.00240213	0.000343485	-0.00020372	0.00212804
TCGA-04-1346	Solid Tissue Normal	-0.00777354	-0.00783097	0.000556433	-0.00380439	0.00288573	0.00119576	-0.00623379	-0.000129278	-0.000821903	-0.00170998	-0.00302213	-0.000581935	0.00288011	0.00389866	0.00184345	0.000284004	-0.000172156	-0.000575957	-0.000404421	0.000825412
TCGA-04-1347	Solid Tissue Normal	-0.00630249	-0.007725	-0.00468229	-0.003216	0.00227037	-0.00638185	-0.00565413	0.00109795	0.0103567	-0.00232077	-0.00251687	0.00135297	0.00185003	0.0135085	0.00184129	0.00157279	-0.00146698	-0.00134593	-0.000129617	0.00765391
TCGA-04-1348	Solid Tissue Normal	-0.00254871	0.00526058	0.00131018	-0.0106945	-0.0308795	0.000643976	0.00510876	0.00202861	0.000114005	0.00211014	-0.000348971	0.00466191	0.000278771	0.00460857	0.00115285	-0.00220572	-0.00651297	0.00371613	-0.00259145	0.00253415
TCGA-04-1349	Solid Tissue Normal	-0.0077373	-0.00822512	0.00138685	-0.00352919	0.0031721	0.000389394	-0.00561106	-0.00167379	-0.00467573	-0.000191444	0.000374443	0.00419639	0.00129513	0.0128765	0.00332872	-0.0022093	-0.00092406	0.000901406	0.00409446	0.000922463
TCGA-04-1350	Solid Tissue Normal	-0.00775635	-0.00804337	0.0013049	-0.00360162	0.0031756	0.00131581	-0.0101637	-0.000329381	-0.00476584	-0.000539993	-0.00148589	0.00128225	0.00372697	0.00707603	0.00187715	-0.00136674	-0.000978022	-0.00509007	-0.0011457	-0.000303837
TCGA-04-1351	Solid Tissue Normal	-0.00742057	-0.00788261	0.00129648	-0.00448814	0.00366285	0.00146454	-0.00400181	-0.000781399	-0.00506731	-0.00102265	7.07266e-06	0.000243997	0.00164499	0.0112485	-0.00108273	-0.00107516	9.5719e-05	-0.000190845	0.0038688	0.000693754
TCGA-04-1353	Solid Tissue Normal	-0.00494876	0.00150125	0.00390872	0.026931	-0.00697577	-0.00316705	-0.000855921	-0.00018752	0.000542129	0.00256444	-0.000410607	-0.000761563	0.00131091	-0.0106034	-0.00348819	0.00126587	0.000270997	-0.00125623	0.00115194	0.000617327
TCGA-04-1356	Solid Tissue Normal	-0.00408776	0.00451449	0.00143105	-0.012892	-0.0330966	0.000873788	0.00512498	0.00116994	-0.002461	0.0026101	0.00205751	0.00131524	-0.00190736	-0.00189388	-0.00258156	-0.00241686	-0.00660035	8.5365e-05	0.0066873	-0.000988643
TCGA-04-1357	Solid Tissue Normal	-0.00763056	-0.00716432	0.00104297	-0.00267647	0.00314977	0.00132342	-0.00639452	-0.00101746	-0.00502845	-0.00212891	0.00280454	0.0040637	-0.00103799	0.0113634	-0.00142158	0.00197935	-0.00179327	0.00223638	0.00380669	-0.00154275
TCGA-04-1360	Solid Tissue Normal	0.0200066	-0.00427912	0.00263966	-0.002307	-0.000152532	0.000891014	-0.00691916	-0.0100954	-0.00290802	-0.000683049	0.0077417	-0.00226035	-0.0039511	-0.0018914	-0.00377357	0.00529524	0.00751155	0.0064788	-0.00208076	0.00629901
TCGA-04-1361	Solid Tissue Normal	-0.00728901	-0.00767528	0.000425355	-0.00192368	0.00245975	0.000830848	0.0118074	0.00253755	-0.000539587	0.0014614	0.00250427	0.00107256	0.00068357	0.00351722	-0.000468774	-0.00183177	-0.00186644	-0.0025981	-0.000269208	0.00128329
TCGA-04-1369	Solid Tissue Normal	-0.00758377	-0.00759335	0.00132287	-0.00309582	0.00475174	0.000533921	-0.00885819	-0.000476303	-0.00393705	0.000763104	-0.000354786	0.00114769	0.00189091	0.0103439	-0.000869612	0.00137508	-0.00373506	-0.000867655	-0.00208968	0.00221645
TCGA-04-1371	Solid Tissue Normal	0.0257373	-0.00435617	0.00340274	-0.00204724	0.00133197	-0.00108625	-0.000809811	0.00708595	-0.00814291	-0.000328098	0.0027871	-0.00265322	0.00368753	0.00397494	-0.00647886	0.00560418	-0.0111406	-0.018771	0.0223527	0.0213733
TCGA-04-1516	Solid Tissue Normal	-0.00787638	-0.00789754	0.00126908	-0.00382402	0.00272198	0.000483533	-0.00793285	-0.00176399	-0.00352657	0.0029053	-0.000412091	0.00168694	0.00374041	0.00871137	0.00118526	-0.000647834	0.000729836	0.00133378	0.000703713	0.000419595
TCGA-04-1517	Solid Tissue Normal	-0.00628394	-0.00698738	0.00129943	0.00245321	0.00372627	0.00146569	0.0400382	0.000794098	-0.00276557	0.00328493	0.00310506	-0.000174604	-0.000355703	-0.00155732	-0.00271049	0.0017145	-0.00332957	-0.00201535	0.00444555	0.000823942
TCGA-04-1519	Solid Tissue Normal	-0.0068137	-0.00731305	0.00045528	-0.00102299	0.00385812	0.00222419	0.0232754	0.000257985	-0.000852504	-0.000636365	0.00135715	0.000109704	0.0037822	-0.0150141	-0.00164236	0.00176449	0.00162141	0.000468281	0.000754547	0.00287976
TCGA-04-1536	Solid Tissue Normal	-0.00655466	-0.00316209	0.000824818	-0.00451476	0.00119616	0.00130615	0.00253673	-0.000253384	-0.0031954	-0.00397183	0.00157933	0.00138022	0.00134455	0.00743787	0.00141047	0.00133557	-0.00165799	-0.00151335	0.000319897	-0.00405438
TCGA-04-1638	Solid Tissue Normal	0.0269851	-0.00398804	0.00181688	-0.00216079	0.00040859	0.00353357	-0.00377406	-0.0015716	-0.000397469	-0.000465657	0.007944	-0.00803855	-0.00249041	-0.00120661	-0.006016	0.0026776	-0.00419136	-0.0147842	0.00696397	-0.00222931
TCGA-04-1644	Solid Tissue Normal	-0.00757196	-0.00768767	0.000945583	-0.00296463	0.00445972	0.000200465	-0.00220477	-0.000332197	-0.00331188	-0.00175665	-9.89747e-05	-0.000772377	0.00312527	0.00225328	0.000192526	-0.00151838	-0.00210757	-0.000309611	0.00167715	0.0017322
TCGA-04-1646	Solid Tissue Normal	-0.00761529	-0.00781307	0.00140487	-0.00247695	0.00223813	0.000369319	-0.00498107	0.00063893	-0.00360277	-0.00178692	0.00027022	0.00290945	0.0020437	0.0170778	0.00277832	-0.000589569	-0.00182545	0.000267583	-4.12085e-05	-0.00157439
TCGA-04-1648	Solid Tissue Normal	-0.00382141	0.00588017	0.001639	-0.0107008	-0.0348824	0.000590179	0.00923793	0.00242867	-0.00223508	0.00116659	0.00110146	0.00227458	-0.00219696	0.00385979	0.00110971	0.00270088	-0.00245796	0.00258952	-0.00169067	-0.0010737
