ID	Tissue	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA-02-0001	Primary Solid Tumor	-0.00424506	-0.00379641	-0.00185266	0.0007992	0.00154608	-0.00289001	-0.00147487	-0.00425663	0.00812637	-0.00340002	-0.00243527	-0.00461043	0.00839074	0.00432381	-0.000288865	0.00642824	0.00311932	-0.00382472	0.00150913	-0.00184289
TCGA-02-0003	Primary Solid Tumor	-0.00420686	-0.00363087	-0.00168017	0.00107059	0.00104735	-0.0035163	-0.00146798	-0.00305879	0.00590648	0.001739	-0.00249256	-0.00324049	0.00418771	-0.00054854	0.000704177	0.00647133	0.00276686	-0.00108395	0.00397548	0.00566464
TCGA-02-0004	Primary Solid Tumor	0.00819488	-0.00366516	-0.0565556	0.125079	-0.00574924	-0.00140422	-0.00670685	-0.00526055	-0.0413307	-0.0530359	0.0105358	0.00192328	0.00485179	0.0141274	0.00143384	0.00701177	-0.00505555	0.00270568	-0.0028959	-0.00943101
TCGA-02-0006	Primary Solid Tumor	0.0212601	-0.00332531	0.00834456	0.00257829	0.00192704	-0.000780191	-0.00438544	-0.00138666	0.00263152	0.00136175	0.00404681	0.00446403	-0.00184213	-0.00937374	0.0146378	-0.0014743	0.0143961	-0.0124601	0.0132555	-0.0136173
TCGA-02-0007	Primary Solid Tumor	-0.00400937	-0.00392734	-0.000269895	0.000215757	0.00127267	-0.00262408	0.000743555	0.00267184	0.00387015	-0.00061061	-0.00210925	-0.00440017	0.00979646	0.000463713	0.00079461	0.00159553	0.00166361	-0.0026207	-0.000115838	-0.0142716
TCGA-02-0009	Primary Solid Tumor	0.0106051	-0.00437887	-0.0525775	-0.0183571	0.00124507	-0.000715288	-0.00140027	-0.00630198	0.00813603	-0.121366	0.0318318	0.0947521	0.0297806	-0.0740411	-0.000355038	0.101437	-0.0347051	0.00786436	-0.0277206	-0.0144757
TCGA-02-0010	Primary Solid Tumor	-0.00340499	-0.00336377	-0.00467045	0.000180594	0.00187941	-0.0022139	-0.0086265	-0.00310554	0.00338274	0.0292476	-0.008823	0.00204262	0.0122064	-0.0214536	-0.00317603	0.0162241	-0.00854355	0.00667164	-0.00261646	-0.00530223
TCGA-02-0011	Primary Solid Tumor	-0.00345051	-0.00304688	0.000442621	-0.000305105	0.00368604	0.00541687	-0.00212429	0.0317283	-0.00292497	0.000495702	0.0042743	0.00409966	-0.0120677	0.00288168	-0.00116513	0.00535189	0.00163528	-0.00633327	0.00573769	0.0269965
TCGA-02-0014	Primary Solid Tumor	-0.0031419	-0.00290401	1.76763e-05	-0.000306797	0.00370408	0.00465734	-0.00671299	0.0281585	-0.00703722	0.000105523	0.0049066	0.00240654	-0.0105949	0.00561254	0.000954723	0.00865276	0.00256038	-0.00513014	0.00686327	0.0141214
TCGA-02-0015	Primary Solid Tumor	0.00148127	-0.00403516	-0.0354121	0.148972	-0.00706264	-0.00148509	0.018072	-0.0034476	-0.0198706	0.000478544	-0.00271378	-0.00174755	0.00625117	-0.00163822	-0.000874689	0.00384671	-0.00173498	0.0016191	-0.00223621	-0.00429605
TCGA-02-0016	Primary Solid Tumor	-0.00466745	-0.00368499	0.000584467	-0.000432143	0.00168324	-0.0017303	0.00319573	-0.00478872	0.000407061	-0.00221916	-0.00240794	-0.000890639	0.00255472	-9.84626e-05	0.000590727	-0.00137609	-0.000375584	-0.000713479	0.000529012	0.00443219
TCGA-02-0021	Primary Solid Tumor	-0.00415439	-0.00356247	-0.0010902	0.000277337	0.000499931	-0.00158847	-0.000392593	0.00251044	0.005196	-0.00268142	-0.00352044	-3.79233e-05	0.00370806	0.00426014	0.00119118	0.0049416	0.00449571	0.000171438	0.00284001	0.00479052
TCGA-02-0023	Primary Solid Tumor	0.00188131	-0.00368386	-0.0372635	0.150348	-0.00685706	-0.0015449	0.0162074	-0.00648705	-0.0184472	0.00090473	0.000813192	0.00511684	-0.0050962	-0.00325887	0.000427927	0.00466024	-0.00224604	0.00223917	-0.00234376	-0.00129598
TCGA-02-0024	Primary Solid Tumor	-0.00433784	-0.00376509	-0.00151341	0.00157439	0.00116429	-0.00272072	-0.00177268	-0.00336431	0.00610051	0.00452278	-0.0030209	-0.00582293	0.00667734	0.00249915	0.000802766	0.0106055	0.000933209	-0.00056942	0.00373946	-0.00537126
TCGA-02-0025	Primary Solid Tumor	0.0016554	-0.00383731	-0.0363714	0.144578	-0.00736035	-0.00222033	0.0163435	-0.00195127	-0.0171696	-0.00637195	0.00186979	0.00298118	-0.000231469	-0.00259977	-0.000208043	-0.00226258	0.00037606	-0.00211179	-0.00143756	-0.000885652
TCGA-02-0026	Primary Solid Tumor	-0.00397322	-0.00357234	-0.00203819	0.00172434	0.000371491	-0.000842842	-0.00142238	-0.00313212	0.00778397	0.000953056	-0.00474172	-0.00386675	0.0054922	0.00280554	0.00188516	0.0130224	-0.000399932	0.00224684	0.0028995	0.0129063
TCGA-02-0027	Primary Solid Tumor	-0.00451416	-0.0039195	-4.70512e-05	-0.000211474	0.000554836	-0.00163328	0.00296171	-0.00374475	0.00176985	-0.00189229	-0.0010623	-0.00316642	0.00471037	0.000560336	-0.000395488	0.000879208	-0.00229557	0.0024047	-0.00212753	-0.00561297
TCGA-02-0028	Primary Solid Tumor	-0.00442945	-0.0038253	0.000240516	-0.000736649	0.00233199	-0.00174526	0.00260348	0.000571054	-0.000125358	-0.00147229	0.00128811	-8.91395e-05	-0.00101077	0.000243745	-0.00178799	-0.00469585	-0.00293491	0.00144826	-0.00313076	-0.00531857
TCGA-02-0033	Primary Solid Tumor	-0.00189586	0.00439049	-0.000190493	-0.00158416	-0.0281853	-0.0022223	-0.000359486	0.00639627	0.00215713	-0.00206578	-0.00555481	-0.000738362	0.00215437	0.000680265	-0.000804127	-0.00023903	0.000202153	0.00277774	-0.000703438	-0.00718317
TCGA-02-0034	Primary Solid Tumor	-0.00420711	-0.00341405	-0.00109152	0.000876876	0.000887433	-0.00192033	0.000116541	-0.00225016	0.00497512	0.00451385	-0.00542769	-0.00383016	0.00732845	-0.000446661	-0.00019941	0.00819158	-0.00455534	0.00550665	-0.00465438	-0.00894422
TCGA-02-0037	Primary Solid Tumor	-0.00445848	-0.00336839	-0.000263516	0.000236195	0.00121565	-0.00211642	0.00159276	-0.00252397	0.00313427	6.49583e-05	0.00256201	0.00259055	-0.00756735	0.00361235	0.000921638	0.000623605	0.000598804	0.000831315	0.00102513	0.000201188
TCGA-02-0038	Primary Solid Tumor	-0.00317287	-0.00254935	0.000735482	0.000138476	0.00331508	0.00522391	-0.000836375	0.0311499	-0.000209222	0.00458822	0.00716456	0.00760912	-0.0140882	-0.00515551	-0.000477625	0.00577725	0.00440104	-0.00858415	0.00833537	0.026354
TCGA-02-0039	Primary Solid Tumor	0.00155184	-0.00395588	-0.0353618	0.142718	-0.00584106	-0.00147524	0.017323	-0.00323261	-0.0210428	-0.0105246	0.00539278	0.00746239	-0.00845979	0.0017114	-0.00107927	0.00082347	-0.0004429	0.00408516	-0.00058715	-0.00362725
TCGA-02-0043	Primary Solid Tumor	-0.00218928	0.00474375	-0.000739296	-0.00145045	-0.0303831	-0.0018896	-0.000699592	0.00501049	0.0034698	-0.00280741	-0.00500124	0.000117994	0.000953191	0.00269917	-0.000350383	0.0039584	0.00152652	-0.00251232	-0.000111131	-0.00776064
TCGA-02-0046	Primary Solid Tumor	0.0207298	-0.00338696	0.00590975	0.000717236	-1.66071e-05	-0.000825771	0.000283506	-0.000484994	0.000331541	0.00185732	-0.00155736	-0.00143965	-0.00103123	0.00488954	-0.00107609	-0.00163835	-0.0001087	-0.0163805	-0.00941836	-0.0155125
TCGA-02-0047	Primary Solid Tumor	-0.004682	-0.00363356	-0.000116997	-0.000888219	0.000800097	-0.0032435	0.00369923	-0.00864412	0.000345971	0.000198793	0.00456378	0.00275891	-0.00834504	-0.000276775	-0.000434648	-0.0017892	-0.00278888	0.00255384	-0.0014258	0.00337777
TCGA-02-0048	Primary Solid Tumor	0.00141498	-0.00400425	-0.0352008	0.142685	-0.00588314	-0.00248642	0.0159315	-0.0041306	-0.0196048	-0.00533202	-0.00236594	0.00391892	0.00752525	-0.00198419	-9.92248e-05	0.00566989	-0.00243472	-0.000152848	0.00109778	0.00046016
